"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test the cancel transaction button functionality.","20828","Calculation Testing | Scenario=S13 | Mode=NEFT/RTGS | Slab=1001-5000 | Amount=1200","testCases","Wed Sep 24 12:53:33 IST 2025","passed","Wed Sep 24 12:53:53 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","20947","Calculation Testing | Scenario=S5 | Mode=RuPay Credit Card | Slab=1001-5000 | Amount=1200","testCases","Tue Sep 23 16:14:07 IST 2025","passed","Tue Sep 23 16:14:28 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","19551","Calculation Testing | Scenario=S7 | Mode=BHIM UPI QR | Slab=1-1000 | Amount=100","testCases","Tue Sep 23 18:03:35 IST 2025","passed","Tue Sep 23 18:03:55 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","21215","Calculation Testing | Scenario=S3 | Mode=RuPay Card | Slab=1-1000 | Amount=100","testCases","Tue Sep 23 15:07:49 IST 2025","passed","Tue Sep 23 15:08:10 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","19113","Calculation Testing | Scenario=S22 | Mode=Cash | Slab=1-1000 | Amount=100","testCases","Wed Sep 24 16:03:00 IST 2025","passed","Wed Sep 24 16:03:20 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","19946","Calculation Testing | Scenario=S3 | Mode=Wallet | Slab=5001-10000 | Amount=6000","testCases","Tue Sep 23 15:05:06 IST 2025","passed","Tue Sep 23 15:05:26 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","22844","Calculation Testing | Scenario=S13 | Mode=RuPay Credit Card | Slab=5001-10000 | Amount=6000","testCases","Wed Sep 24 13:01:58 IST 2025","failed","Wed Sep 24 13:02:21 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","20567","Calculation Testing | Scenario=S6 | Mode=Wallet | Slab=1001-5000 | Amount=1200","testCases","Tue Sep 23 17:24:29 IST 2025","passed","Tue Sep 23 17:24:49 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","22028","Calculation Testing | Scenario=S2 | Mode=UPI | Slab=1001-5000 | Amount=1200","testCases","Tue Sep 23 14:38:23 IST 2025","passed","Tue Sep 23 14:38:45 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","22839","Calculation Testing | Scenario=S12 | Mode=UPI | Slab=1-1000 | Amount=100","testCases","Wed Sep 24 12:30:53 IST 2025","passed","Wed Sep 24 12:31:16 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","22333","Calculation Testing | Scenario=S17 | Mode=UPI | Slab=1001-5000 | Amount=1200","testCases","Wed Sep 24 14:09:12 IST 2025","passed","Wed Sep 24 14:09:34 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","19932","Calculation Testing | Scenario=S5 | Mode=Wallet | Slab=5001-10000 | Amount=6000","testCases","Tue Sep 23 16:09:07 IST 2025","passed","Tue Sep 23 16:09:27 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","23203","Calculation Testing | Scenario=S18 | Mode=Debit Card | Slab=1001-5000 | Amount=1200","testCases","Wed Sep 24 14:18:37 IST 2025","passed","Wed Sep 24 14:19:00 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","22545","Calculation Testing | Scenario=S18 | Mode=UPI | Slab=5001-10000 | Amount=6000","testCases","Wed Sep 24 14:26:34 IST 2025","passed","Wed Sep 24 14:26:57 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","22105","Calculation Testing | Scenario=S1 | Mode=UPI | Slab=5001-10000 | Amount=6000","testCases","Tue Sep 23 13:37:58 IST 2025","passed","Tue Sep 23 13:38:20 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","16189","Calculation Testing | Scenario=S19 | Mode=UPI INTENT | Slab=5001-10000 | Amount=6000","testCases","Wed Sep 24 15:24:36 IST 2025","passed","Wed Sep 24 15:24:52 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","16918","Calculation Testing | Scenario=S21 | Mode=Wallet | Slab=1-1000 | Amount=100","testCases","Wed Sep 24 15:51:41 IST 2025","passed","Wed Sep 24 15:51:58 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","27486","Calculation Testing | Scenario=S7 | Mode=Cash | Slab=5001-10000 | Amount=6000","testCases","Tue Sep 23 17:58:55 IST 2025","passed","Tue Sep 23 17:59:23 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","23570","Calculation Testing | Scenario=S18 | Mode=Debit Card | Slab=5001-10000 | Amount=6000","testCases","Wed Sep 24 14:19:07 IST 2025","passed","Wed Sep 24 14:19:31 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","20819","Calculation Testing | Scenario=S15 | Mode=Wallet | Slab=5001-10000 | Amount=6000","testCases","Wed Sep 24 13:32:45 IST 2025","passed","Wed Sep 24 13:33:06 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","20722","Calculation Testing | Scenario=S2 | Mode=Credit Card | Slab=1001-5000 | Amount=1200","testCases","Tue Sep 23 14:33:01 IST 2025","passed","Tue Sep 23 14:33:21 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","22379","Calculation Testing | Scenario=S18 | Mode=NEFT/RTGS | Slab=1-1000 | Amount=100","testCases","Wed Sep 24 14:24:02 IST 2025","passed","Wed Sep 24 14:24:25 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","23280","Calculation Testing | Scenario=S12 | Mode=Debit Card | Slab=1-1000 | Amount=100","testCases","Wed Sep 24 12:23:00 IST 2025","passed","Wed Sep 24 12:23:23 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","20342","Calculation Testing | Scenario=S13 | Mode=Wallet | Slab=1001-5000 | Amount=1200","testCases","Wed Sep 24 12:56:36 IST 2025","passed","Wed Sep 24 12:56:56 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","19847","Calculation Testing | Scenario=S7 | Mode=UPI INTENT | Slab=1001-5000 | Amount=1200","testCases","Tue Sep 23 18:08:12 IST 2025","passed","Tue Sep 23 18:08:32 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","20942","Calculation Testing | Scenario=S3 | Mode=Cash | Slab=1-1000 | Amount=100","testCases","Tue Sep 23 15:00:05 IST 2025","passed","Tue Sep 23 15:00:26 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","20272","Calculation Testing | Scenario=S22 | Mode=UPI | Slab=5001-10000 | Amount=6000","testCases","Wed Sep 24 16:06:49 IST 2025","passed","Wed Sep 24 16:07:09 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","22240","Calculation Testing | Scenario=S13 | Mode=UPI | Slab=1001-5000 | Amount=1200","testCases","Wed Sep 24 12:55:02 IST 2025","passed","Wed Sep 24 12:55:24 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","23219","Calculation Testing | Scenario=S12 | Mode=Credit Card | Slab=5001-10000 | Amount=6000","testCases","Wed Sep 24 12:25:35 IST 2025","passed","Wed Sep 24 12:25:58 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","17629","Calculation Testing | Scenario=S20 | Mode=Wallet | Slab=1-1000 | Amount=100","testCases","Wed Sep 24 15:35:33 IST 2025","passed","Wed Sep 24 15:35:51 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","20774","Calculation Testing | Scenario=S5 | Mode=NEFT/RTGS | Slab=1001-5000 | Amount=1200","testCases","Tue Sep 23 16:05:58 IST 2025","passed","Tue Sep 23 16:06:18 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","20470","Calculation Testing | Scenario=S15 | Mode=Wallet | Slab=1-1000 | Amount=100","testCases","Wed Sep 24 13:31:48 IST 2025","passed","Wed Sep 24 13:32:08 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","20810","Calculation Testing | Scenario=S2 | Mode=RuPay Credit Card | Slab=1-1000 | Amount=100","testCases","Tue Sep 23 14:44:00 IST 2025","passed","Tue Sep 23 14:44:21 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","17751","Calculation Testing | Scenario=S20 | Mode=Wallet | Slab=1001-5000 | Amount=1200","testCases","Wed Sep 24 15:36:03 IST 2025","passed","Wed Sep 24 15:36:21 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","10560","Calculation Testing | Scenario=S21 | Mode=UPI | Slab=5001-10000 | Amount=6000","testCases","Wed Sep 24 15:51:23 IST 2025","failed","Wed Sep 24 15:51:34 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","21137","Calculation Testing | Scenario=S5 | Mode=Credit Card | Slab=1001-5000 | Amount=1200","testCases","Tue Sep 23 16:01:55 IST 2025","passed","Tue Sep 23 16:02:16 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","21088","Calculation Testing | Scenario=S8 | Mode=Net Banking | Slab=1001-5000 | Amount=1200","testCases","Tue Sep 23 23:59:18 IST 2025","passed","Tue Sep 23 23:59:39 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","23305","Calculation Testing | Scenario=S18 | Mode=Debit Card | Slab=1-1000 | Amount=100","testCases","Wed Sep 24 14:18:06 IST 2025","passed","Wed Sep 24 14:18:29 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","22987","Calculation Testing | Scenario=S24 | Mode=Debit Card | Slab=1-1000 | Amount=100","testCases","Wed Sep 24 14:48:40 IST 2025","passed","Wed Sep 24 14:49:03 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","10758","Calculation Testing | Scenario=S21 | Mode=RuPay Card | Slab=5001-10000 | Amount=6000","testCases","Wed Sep 24 15:55:58 IST 2025","failed","Wed Sep 24 15:56:08 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","23034","Calculation Testing | Scenario=S17 | Mode=RuPay Card | Slab=1-1000 | Amount=100","testCases","Wed Sep 24 14:13:31 IST 2025","passed","Wed Sep 24 14:13:54 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","20994","Calculation Testing | Scenario=S3 | Mode=Cash | Slab=1001-5000 | Amount=1200","testCases","Tue Sep 23 15:00:32 IST 2025","passed","Tue Sep 23 15:00:53 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","20332","Calculation Testing | Scenario=S17 | Mode=Net Banking | Slab=5001-10000 | Amount=6000","testCases","Wed Sep 24 14:05:30 IST 2025","passed","Wed Sep 24 14:05:50 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","22651","Calculation Testing | Scenario=S18 | Mode=UPI | Slab=1-1000 | Amount=100","testCases","Wed Sep 24 14:25:33 IST 2025","passed","Wed Sep 24 14:25:56 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","22622","Calculation Testing | Scenario=S24 | Mode=UPI | Slab=1-1000 | Amount=100","testCases","Wed Sep 24 14:56:15 IST 2025","passed","Wed Sep 24 14:56:38 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","23988","Calculation Testing | Scenario=S8 | Mode=Credit Card | Slab=1001-5000 | Amount=1200","testCases","Tue Sep 23 23:57:33 IST 2025","passed","Tue Sep 23 23:57:57 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","20854","Calculation Testing | Scenario=S1 | Mode=RuPay Credit Card | Slab=1-1000 | Amount=100","testCases","Tue Sep 23 13:42:23 IST 2025","passed","Tue Sep 23 13:42:44 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","20237","Calculation Testing | Scenario=S17 | Mode=Wallet | Slab=1001-5000 | Amount=1200","testCases","Wed Sep 24 14:10:37 IST 2025","passed","Wed Sep 24 14:10:57 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","23619","Calculation Testing | Scenario=S8 | Mode=Debit Card | Slab=5001-10000 | Amount=6000","testCases","Tue Sep 23 23:56:27 IST 2025","passed","Tue Sep 23 23:56:50 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","18658","Calculation Testing | Scenario=S19 | Mode=Debit Card | Slab=5001-10000 | Amount=6000","testCases","Wed Sep 24 15:10:54 IST 2025","passed","Wed Sep 24 15:11:13 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","16444","Calculation Testing | Scenario=S23 | Mode=Wallet | Slab=1001-5000 | Amount=1200","testCases","Wed Sep 24 16:25:46 IST 2025","passed","Wed Sep 24 16:26:03 IST 2025","TestCalculations","Calculation_test","",""
